Sr.No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR_Result
56,SSBS/M/2021/56,S/56,19/10/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
57,SSBS/M/2021/57,S/57,19/10/2021,Someshwarwadi,Genepath,34.4,35.2,37.2,Negative
58,SSBS/M/2021/58,S/58,19/10/2021,Jai bhavani nagar pashan,Genepath,34.7,0,37.7,Negative
59,SSBS/M/2021/59,S/59,20/10/2021,Dattawadi under rajaram bridge,Genepath,36.4,36.5,37.8,Positive
60,SSBS/M/2021/60,S/60,20/10/2021,"Vitthalwadi hingne, off sinhagad road",Genepath,35.1,35.6,38.3,Negative
61,SSBS/M/2021/61,S/61,20/10/2021,Shivajinagar Juna bazaar,Genepath,0,0,0,Positive
62,SSBS/M/2021/62,S/62,20/10/2021,Yerwada Old bund garden,Genepath,35.7,0,39,Positive
63,SSBS/M/2021/63,S/63,20/10/2021,RTO office Yerwada,Genepath,0,0,0,Negative
64,SSBS/M/2021/64,S/64,20/10/2021,"Vishrantwadi, shantinagar",Genepath,33.6,0,36.9,Positive
65,SSBS/M/2021/65,S/65,21/10/2021,"Chinchwad, Aditya birla hospital",Genepath,39.6,0,39.8,Negative
66,SSBS/M/2021/66,S/66,21/10/2021,"Shastrinagar, pimpri",Genepath,32.1,35.8,35.5,Positive
67,SSBS/M/2021/67,S/67,21/10/2021,kasarwadi pimple gurav road,Genepath,35.8,37.1,0,Negative
68,SSBS/M/2021/68,S/68,21/10/2021,"Pimple gurav, 60 feet road",Genepath,37.6,36.2,37.4,Negative
69,SSBS/M/2021/69,S/69,21/10/2021,Dapodi / Old sangvi Bridge,Genepath,38.3,36.9,28.7,Negative
70,SSBS/M/2021/70,S/70,22/10/2021,Rahatni new DP road,Genepath,0,37.3,0,Negative
71,SSBS/M/2021/71,S/71,22/10/2021,Kalewadi Adarsh Nagar,Genepath,0,0,0,Negative
72,SSBS/M/2021/72,S/72,22/10/2021,"Phugewadi/Dapodi, sai service",Genepath,0,0,0,Negative
73,SSBS/M/2021/73,S/73,22/10/2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
74,SSBS/M/2021/74,S/74,22/10/2021,Shivajinagar Chaturshringi,Genepath,38.8,0,0,Negative
75,SSBS/M/2021/75,S/75,25/10/2021,Shivajinagar Vaidhawadi,Genepath,0,0,0,Negative
76,SSBS/M/2021/76,S/76,25/10/2021,Shivajinagar Chaturshringi,Genepath,0,0,0,Negative
77,SSBS/M/2021/77,S/77,25/10/2021,Sanjeevan hospital Kothrud,Genepath,36.8,34.8,39,Positive
78,SSBS/M/2021/78,S/78,25/10/2021,Karve road Kothrud,Genepath,0,0,0,Negative
79,SSBS/M/2021/79,S/79,25/10/2021,Warje Mumbai/Bangalore Highway,Genepath,36.5,35,33.7,Positive
80,SSBS/M/2021/80,S/80,25/10/2021,Kothrud Bus depot,Genepath,35.8,39.3,0,Negative
81,SSBS/M/2021/81,S/81,26/10/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
82,SSBS/M/2021/82,S/82,26/10/2021,Baner/Balewadi,Genepath,35.4,34.3,35.3,Positive
83,SSBS/M/2021/83,S/83,26/10/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
84,SSBS/M/2021/84,S/84,26/10/2021,"DP road, Botanical Garden, Aundh",Genepath,36.9,35.4,37,Positive
85,SSBS/M/2021/85,S/85,26/10/2021,Someshwarwadi,Genepath,0,0,0,Negative
86,SSBS/M/2021/86,S/86,26/10/2021,Jai bhavani nagar pashan,Genepath,0,0,0,Negative
87,SSBS/M/2021/87,S/87,27/10/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
88,SSBS/M/2021/88,S/88,27/10/2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0,0,0,Negative
89,SSBS/M/2021/89,S/89,27/10/2021,Shivajinagar Juna bazaar,Genepath,0,0,0,Negative
90,SSBS/M/2021/90,S/90,27/10/2021,Yerwada Old bund garden,Genepath,0,0,0,Negative
91,SSBS/M/2021/91,S/91,27/10/2021,RTO office Yerwada,Genepath,0,0,0,Negative
92,SSBS/M/2021/92,S/92,27/10/2021,"Vishrantwadi, shantinagar",Genepath,0,0,0,Negative
93,SSBS/W/2021/93,S/93,11/9/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
94,SSBS/W/2021/94,S/94,11/9/2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0,0,0,Negative
95,SSBS/W/2021/95,S/95,11/9/2021,Yerwada Old bund garden,Genepath,0,0,0,Negative
96,SSBS/W/2021/96,S/96,11/9/2021,Shivajinagar Juna bazaar,Genepath,0,0,0,Negative
97,SSBS/W/2021/97,S/97,11/9/2021,RTO office Yerwada,Genepath,0,0,0,Negative
98,SSBS/W/2021/98,S/98,11/9/2021,"Vishrantwadi, shantinagar",Genepath,0,0,0,Negative
